"Claim Processed","Rozpatrzono zgłoszenie reklamacyjne"
"Exception","Wyjątkowa sytuacja, szczegóły w call centre"
"Deleted","Przesyłka usunięta"
"Cancelled By User","Przesyłka anulowana przez użytkownika"
"Delivered To Department","Dostarczona do oddziału przewoźnika"
"Awaiting For CTN","Oczekiwanie na #CTN"
"Generating Document","Generowanie dokumentu"
"Manifest Ready To Send","Manifest gotowy do wysłania"
"Manifest Send","Manifest wysłany"
"Generating Manifest Document","Generowanie dokumentu manifestu"
"Awaiting Carrier","Oczekiwanie na kuriera"
"Awaiting For Delivery To Carrier","Oczekiwanie na dostarczenie paczki do kuriera"
"Delivered To InPost","Dostarczona do paczkomatu"
"In Transport","W transporcie"
"Awaits In InPost POP","Oczekuje w paczkomacie"
"Awaits In InPost POP Avizo","Oczekuje w paczkomacie (powtórne powiadomienie)"
"Awaits In Carrier Office","W oddziale - oczekuje na odbiór"
"In Terminal","W terminalu"
"In Sort","W sortowni"
"Awaits Carrier In Service Point","Oczekuje na odbiór przez kuriera w DHL Service Point"
"Awaits Recipient In Service Point","Oczekuje na odbiór przez odbiorcę w DHL Service Point"
"Info Ready To Send","Info ready to send"
"Delivered To Qiwi Post","Dostarczona do paczkomatu"
"Awaits In Qiwi Post POP","Oczekuje w paczkomacie"
"Awaits In Qiwi Post POP Avizo","Oczekuje w paczkomacie (powtórne powiadomienie)"
"Automatically create Sheepla shipments","Twórz przesyłki Sheepla automatycznie"
"Ship to Specific Countries","Dostawa do wybranych krajów"
"Ship to Applicable Countries","Dostawa do stosownych krajów"
"All Allowed Countries","Wszystkie dozwolone kraje"
"Specific Countries","Wybrane kraje"
"Delivery to Inpost pick-up machine: ","Dostawa do paczkomatu InPost: "
"Delivery to Qiwi Post pick-up machine: ","Dostawa do paczkomatu Qiwi Post: "
"Delivery to metro station: ","Dostawa na stację metra: "
"Delivery to IM Logistics pick-up machine: ","Dostawa do paczkomatu IM Logistics: "
"Delivery to Pick Point pick-up machine: ","Dostawa do paczkomatu Pick Point: "
"Logo URL","Adres URL logo"
"URL to the carrier logo","Adres URL do logo dostawcy"
"Advanced","Zaawansowane"
"Attach last comment","Dołącz ostatni komentarz"
"Attach last order comment to Sheepla","Dołącz ostatni komentarz zamówienia do komentarzy wysyłki Sheepla"
