"Add label","Add label"
"Customer Comments","Customer Comments"
"Customer Order Comment:\n","Customer Order Comment:\n"
"Enable Comment Field","Enable Comment Field"
"Enable the customer comment field on the shipping method step.","Enable the customer comment field on the shipping method step."
"Label","Label"
"Morphes Checkout Comment Options","Morphes Checkout Comment Options"
