"Payment for order #","Payment for order #"
"Secret key","Secret key"
"Wallet","Wallet"
"You will be redirected to IntellectMoney in a few seconds.","You will be redirected to IntellectMoney in a few seconds."
"You will be redirected to IntellectMoney website when you place an order.","You will be redirected to IntellectMoney website when you place an order."
"IntellectMoney","IntellectMoney"
